County,Current cigarette smoking among adults,No leisure-time physical activity among adults,Obesity among adults
hahira,14.9,23.5,35.85
hamilton,13.1,20.5,33
hampton,15.5,26.3,41.4
hannahs mill,18.85,29.15,38.6
hapeville,16.65,29.4,35.75
haralson,17.1,23.95,45.85
hardwick,22.15,38.95,47
harlem,14.4,22.7,36.55
harrison,20.85,36.3,45.75
hartwell,15.6,28.05,36.95
hawkinsville,22.55,37.35,45.95
hazlehurst,20.85,33.05,42
helen,13.3,21.8,34.45
henderson,20.2,31.3,39
hephzibah,19.6,30.25,42.2
heron bay,13.85,25.95,41.1
hiawassee,17.15,32.7,38.4
hickox,17.95,27.6,37.4
higgston,20.65,32.55,43.3
hilltop,16.8,30.15,44.05
hiltonia,16.9,28.35,42.65
hinesville,16.1,27.9,45.7
hiram,14.35,25.1,40.95
hoboken,21.45,31.25,39.15
hogansville,20.65,33.55,44.15
holly springs,13.15,21.15,35.95
homeland,22.9,31.7,38.5
homer,18.9,26.45,36.55
homerville,24.8,39.55,47.2
hortense,24.45,38.15,41.2
hoschton,17.45,27.3,42.4
hull,17.15,26.5,39.3
ideal,27.6,46.95,51.7
ila,23.35,33.25,40.65
indian springs,15.5,23.2,36.45
iron city,17.3,27.65,38.3
irondale,21.5,39.45,50.45
irwinton,21.05,35.15,45.2
isle of hope,8.5,14.75,28.35
ivey,22.1,32.4,41.25
jackson,19.45,32.95,43.4
jacksonville,27.25,41.5,48
jakin,22.3,33.35,43.95
jasper,16,27.15,39.15
jefferson,13.35,22,39.5
jeffersonville,22.2,39.25,47.1
jekyll island,9.6,20.3,29.55
jenkinsburg,19.85,30.1,39.7
jersey,14.35,23.05,32
jesup,19.7,31.7,43.35
johns creek,8.25,16.95,22.2
jonesboro,18.75,32.75,42.8
juliette,21.25,31.15,40.15
junction city,19.55,32.4,45
kennesaw,11.8,18.85,29.5
kennesaw state university,8.4,13.15,23.15
keysville,19.6,36.15,45.7
kings bay base,16.1,25.95,35.05
kingsland,15.75,25.1,37.25
kingston,17.9,27.7,39.7
kite,21.3,31.85,38.75
knoxville,20.75,27.35,39.8
lafayette,21.15,35.1,43.75
lagrange,18.5,32.75,44.15
lake city,16.25,34.45,38.25
lake park,14.8,25.55,36.65
lakeland,28.8,42.35,45.6
lakeview,19.65,29.2,38.8
lakeview estates,16.55,38.95,45.4
lavonia,17.3,30.65,39.25
lawrenceville,13.7,25.95,36.2
leary,22.85,39.3,47.55
leesburg,18.65,29.25,40.05
lenox,18.45,33,42.2
leslie,23.85,38.55,45.85
lexington,15.9,27.55,36.2
lilburn,14.9,29.15,33.55
lilly,20.6,34.45,44.35
lincoln park,15.7,31.25,45.75
lincolnton,20.05,33.15,39.95
lindale,20.25,30.9,40.85
lithia springs,16.1,29.1,44.65
lithonia,19.35,29.55,42
locust grove,15.1,25.7,40.9
loganville,14.8,25.65,36.6
lone oak,17.75,29.15,36.6
lookout mountain,11.8,22.05,35.9
louisville,21.05,36.7,44.85
lovejoy,16.85,31.25,46.7
ludowici,22.5,35.2,43.5
lula,19.4,27.55,34.55
lumber city,26.15,42.9,49.5
lumpkin,24,38.5,46.55
luthersville,19.45,32.2,40.95
lyerly,21.25,31.6,38
lyons,21.5,35.4,45.25
mableton,13.8,22.5,33.6
macon-bibb,19.15,33.5,48.25
madison,12.25,22.6,36.7
manchester,20.3,34.4,43.1
manor,17.35,28.75,34.55
mansfield,15.55,22.7,36.6
marietta,13.25,21.25,31.65
marshallville,18,35.5,48.25
martin,18.5,29.3,38.75
martinez,12.6,21.3,33.5
matthews,23.8,38.15,44
maxeys,13.95,23.25,32.2
maysville,16.7,26.8,38.55
mccaysville,19,28.85,38.35
mcdonough,15.55,27.55,43.4
mcintyre,20.4,35.1,47.15
mcrae-helena,23.25,39.35,46.9
meansville,15.25,24.9,34.55
meigs,25.2,39.8,49.45
mendes,20.75,31.4,44.5
menlo,20.75,32.45,37.75
metter,21.85,36.7,46.15
midville,23.25,38.55,48.8
midway,16.3,26.85,45.6
milan,19.9,32.55,42.4
milledgeville,18.65,31.7,39.95
millen,25.7,42.95,48.4
millwood,25.6,34.05,36.15
milner,16.5,25.35,38.6
milstead,15.35,25.75,40.05
milton,8.25,15.65,23.65
mineral bluff,16.2,25.95,36.35
mitchell,19.15,30.6,37.55
molena,17.35,26.7,38.55
monroe,21.6,34.15,41.35
montezuma,20.6,36.05,45.65
montgomery,13.05,21.7,33.25
monticello,18.6,32.4,44.65
montrose,16.25,27.55,39.25
moody afb,14,22.85,32.85
moreland,14.5,22.15,43.95
morgan,24.4,32.6,46.75
morganton,17.35,26.2,37.35
morrow,16.6,35.5,37.8
morven,18.25,32,41.4
moultrie,20.4,35.8,41.7
mount airy,16.05,28.9,35.4
mount vernon,20.2,33.85,45.6
mount zion,21.9,32,37.9
mountain city,17.6,28.5,37.1
mountain park,9.975,17.975,27.775
musella,18.65,31.85,46.9
nahunta,18.15,29.6,39.4
nashville,21.5,33.65,39.55
naylor,18.65,27.9,37.6
nelson,15.75,23.75,37.5
new england,16.75,24.45,37
newborn,16.15,25.15,37.6
newington,19.4,30.45,40.8
newnan,14.7,24.3,45.9
newton,18.2,31.7,42.9
nicholls,32.55,43.5,50.35
nicholson,16.45,26.1,42.15
norcross,13.8,27.65,35.8
norman park,21.8,36.95,40.4
norristown,19.5,32.05,37.7
north decatur,8.75,14.75,25.7
north druid hills,8.8,15.1,26.35
north high shoals,10.6,16.7,33.75
norwood,20.25,35.8,46.5
nunez,14.7,27.2,38.5
oak park,19.55,31.3,39.5
oakwood,16.7,27.5,35.3
ochlocknee,18.5,27.85,39.35
ocilla,17.75,31.85,41.7
oconee,20.65,36.1,41.7
odum,19.2,29.45,40.55
offerman,22.15,32.8,42.85
oglethorpe,28.25,47.25,52.85
oliver,19.8,30.9,44.8
omega,18.95,37.1,44.4
orchard hill,16.8,26.3,37.05
oxford,17.4,30.2,40.45
palmetto,16.4,27.65,37.4
panthersville,19.5,28.55,40.85
parrott,14.95,27.3,37.25
patterson,22.75,34.9,42.45
pavo,18.7,28.75,39.35
peachtree city,9.15,18.4,27.95
peachtree corners,11.2,20.25,32.5
pearson,25.4,42.75,45.7
pelham,22.55,38.9,49.15
pembroke,17.5,27.95,41.65
pendergrass,15.3,25.25,40.5
perkins,29.5,40.65,42.5
perry,16.15,29.1,41.2
phillipsburg,18.15,34.4,49.15
pine lake,16.35,22.15,33.45
pine mountain,14.8,27.15,35
pinehurst,19.95,32,42.9
pineview,18.75,34.8,44.6
piney grove,10.9,19.45,30.9
pitts,17.8,28.2,38.1
plains,18.7,33.7,42.9
plainville,18.6,28.05,39.6
pooler,11.95,19.9,32.5
port wentworth,16.95,26.2,38.55
portal,18.1,28.45,38.85
porterdale,17.55,28.4,40.8
poulan,18.55,31.05,39.85
powder springs,12.5,20.8,33.4
pulaski,16.7,29.5,43.1
putney,19.5,30.85,41.6
quitman,25.35,42.05,48.75
ranger,21.8,28.55,39.2
raoul,17.95,29.95,39
ray city,17.7,29.85,39.35
rayle,19.95,33.55,42.75
rebecca,19.05,30.7,38.5
redan,16.1,24.4,39.9
reed creek,16.8,26.9,34.15
register,19.35,28.45,38.15
reidsville,20.4,34.85,47.5
remerton,24.15,37.65,47.35
rentz,21.25,32.55,38.75
resaca,19.75,31.55,42.05
reynolds,20.1,34.2,42.65
rhine,17.9,31.85,44.25
riceboro,18.9,34.1,50.6
richland,16.5,31.1,44.55
richmond hill,13,21.35,36.85
riddleville,20.45,32.65,39.65
rincon,13.55,23.2,39.75
ringgold,15.55,24.45,36.15
riverdale,18.05,34.5,46.4
roberta,18,30.85,42.8
robins afb,10.95,20.6,33.65
rochelle,17.8,30.95,42.3
rock spring,17.85,30.6,39.95
rockingham,15.35,25.7,36.5
rockmart,19.85,31.75,43.2
rocky ford,15.75,25.8,39
rome,18.7,32.2,42.1
roopville,17.95,28.05,36.85
rossville,20.75,35.4,43.8
roswell,9.8,18.1,26.75
royston,17.45,29.9,37.4
russell,20.5,33.9,45.05
rutledge,16.9,27.65,38.9
sale city,26.1,39.85,46.75
salem,18.1,33.55,46.25
sandersville,19.65,35.15,44.35
sandy springs,8.6,16.75,26.05
santa claus,25.7,38.55,44.65
sardis,18.55,29.05,43.6
sasser,18.8,30.95,41.85
satilla,26.9,38.3,44.35
sautee-nacoochee,12,21.7,34.35
savannah,15.85,26.25,37.95
scotland,25.85,39.25,45.45
scottdale,13.35,20.35,30.4
screven,20.2,32.65,42.9
senoia,11.05,18.45,42.1
seville,18.85,30.7,37.95
shady dale,18.2,33.5,41.35
shannon,17.65,25.8,38.4
sharon,18.3,32.15,44.05
sharpsburg,12.35,17.85,41.2
shellman,21.05,36.4,45.55
shiloh,18.75,29.4,36.15
siloam,25.45,41.25,47.75
skidaway island,7,14.85,26.1
sky valley,13.15,24.9,35
smarr,13.6,19.45,32.4
smithville,15.15,28,42.1
smyrna,10.55,17.45,29.55
snellville,12.5,22.7,35.2
social circle,15.4,25.95,36.25
soperton,24.35,39.45,47.5
south fulton,14.4,25.55,37.3
sparks,23.15,40,46.65
sparta,23.8,40,49.1
springfield,15.55,25.4,39.85
st. marys,17.4,26.9,38
st. simons,9.5,18.6,29.45
stapleton,20.65,33.05,39.95
statesboro,15.9,27.45,39.35
statham,15.4,25.9,41.05
sterling,16.55,26.75,36.05
stillmore,22.7,36.1,44.85
stockbridge,13.75,25.9,40.75
stockton,23.1,34.9,43.8
stone mountain,17.9,26.45,39.8
stonecrest,15.9,24.5,40
sugar hill,10.55,19.75,30.45
summertown,21.3,35.3,43.75
summerville,25.4,38.35,42.4
sumner,19.1,30.6,39.8
sunny side,23.1,35.25,41.2
sunnyside,20.2,31,37.75
sunset village,17.7,26.9,37.95
surrency,21.35,36.9,43.45
suwanee,9.4,18.25,28
swainsboro,22.55,36.9,45.05
sycamore,19.55,29.15,39.95
sylvania,19.55,31.85,42.7
sylvester,20.1,35.25,43.9
talahi island,10.05,16.9,28.9
talbotton,20.6,35.95,46.8
talking rock,20,28.15,41.1
tallapoosa,16.6,25.75,32.85
tallulah falls,11.85,21.55,33.4
talmo,14.3,23.25,39.65
tarrytown,13.85,23.6,32.8
taylorsville,18.45,27.25,38.1
tazewell,15.5,24.4,31.9
temple,16.85,26.35,36.35
tennille,20.15,36.2,46.35
the rock,18.15,27.75,39.25
thomaston,20.2,34.2,43.95
thomasville,16.35,27.2,40.7
thomson,18.65,34.05,46.5
thunderbolt,17.5,28.55,37.85
tifton,17.35,31.75,41.7
tiger,18.15,28.45,36.8
tignall,19.85,32.45,44.3
toccoa,17.95,30.3,40.3
toomsboro,17.45,32.5,43.25
trenton,19,27.7,37.65
trion,20.65,33.7,38.8
tucker,12.85,20.3,31.4
tunnel hill,18.45,26.5,33.65
turin,12.65,18.7,42.35
twin city,21.05,32.55,43.6
ty ty,16.05,29.65,41.85
tybee island,13,21.55,30.85
tyrone,9.95,19,30.35
unadilla,18.9,29.3,45.35
union city,15.7,27.35,38.2
union point,19.8,34.05,45
unionville,30.05,50.45,54.9
uvalda,21.15,33.8,43.1
valdosta,19.55,31.8,41.7
varnell,14.65,23.35,33.6
vernonburg,17.3,26.4,35.1
vidalia,17.45,29.55,43.4
vidette,25.4,36.95,45.35
vienna,20.55,37,47.5
villa rica,15.6,26.4,39.4
vinings,7.6,13.35,26.9
waco,15.4,24.6,31.6
wadley,22,38.2,47.3
waleska,12.85,20.85,33.15
walnut grove,18.85,28,36.25
walthourville,18.15,30,48.4
waresboro,23.8,32.45,37.85
warm springs,20.65,35.8,40.35
warner robins,15.6,28.95,41.2
warrenton,21.95,36.45,45.4
warthen,16.05,30.05,42.25
warwick,18.75,31.7,41.1
washington,19.65,34.75,45.9
watkinsville,9.3,16.6,33.2
waverly,15.3,24.35,34.95
waverly hall,15.2,26.3,36.05
waycross,21.8,35.75,43.25
waynesboro,18.8,32.95,47.5
waynesville,21.95,34.8,41.55
webster,21.35,35.1,43.85
wenona,19.95,30.95,42.3
west brow,14.7,22.5,35.85
west point,16.55,30.35,42.65
whigham,18.15,32.8,40.05
white,14.8,22.95,36.3
white plains,18.45,28.4,40.9
whitemarsh island,11.05,18.25,29.55
whitesburg,20.1,31.05,37.8
wildwood,12.35,20.8,33.95
willacoochee,22.05,37,44.55
williamson,17.2,24.85,35.35
wilmington island,10.75,17.4,29.8
winder,16.95,28.45,41.9
winterville,13.8,23.5,34.15
woodbine,19.05,30.05,40.45
woodbury,20.15,34,42.7
woodland,18.7,33.45,45.6
woodstock,10.9,19.4,34.35
woodville,20.2,33.15,43.3
woolsey,11.6,18.35,29.3
wrens,22.45,37.3,46.8
wrightsville,26.95,38.7,47.6
yatesville,18.7,30.2,40
yonah,14.9,23.5,36.05
young harris,9.65,18.95,30.8
zebulon,15.15,25.35,37.5
