FIPS_Code,State,County,Civilian_labor_force_2022,Employed_2022,Med_HH_Income_Percent_of_State_Total_2022,Median_Household_Income_2022,Unemployed_2022,Unemployment_rate_2022,Current cigarette smoking among adults,No leisure-time physical activity among adults,Obesity among adults
13205,GA,mitchell,8231,7894,62.3,45296,337,4.1,21.2,35.15,46.6
13207,GA,monroe,12721,12350,105.1,76428,371,2.9,16.4,25.95,37.65
13209,GA,montgomery,3820,3668,66.5,48356,152,4,21.35,33.15,42.4
13211,GA,morgan,9673,9404,102.2,74340,269,2.8,13.45,23.2,36.05
13213,GA,murray,15366,14735,85.4,62109,631,4.1,18.3,30.95,38.05
13215,GA,muscogee,74408,71202,73.9,53740,3206,4.3,17,30.95,41.65
13217,GA,newton,54193,52281,99.2,72128,1912,3.5,16.7,27.65,42.3
13219,GA,oconee,19998,19524,157.8,114758,474,2.4,11.8,19.25,33.15
13221,GA,oglethorpe,6913,6719,85.9,62504,194,2.8,17.2,28.2,36.15
13223,GA,paulding,91217,88756,120.2,87459,2461,2.7,15.3,25.2,38.8
13225,GA,peach,11789,11325,80.4,58471,464,3.9,16.8,28.8,42.15
13227,GA,pickens,15881,15460,98.9,71955,421,2.7,14.2,24.45,36.8
13229,GA,pierce,8675,8424,72.4,52695,251,2.9,16.8,27.7,39.85
13231,GA,pike,9181,8926,110.8,80626,255,2.8,14.5,24.3,34.45
13233,GA,polk,18596,18008,75.5,54894,588,3.2,18.6,30.8,41.7
13235,GA,pulaski,3980,3844,64.6,46975,136,3.4,19.8,33,43.25
13237,GA,putnam,8752,8439,85.6,62241,313,3.6,16.7,29.75,41.9
13239,GA,quitman,728,691,57.1,41516,37,5.1,18.85,32.95,43.7
13241,GA,rabun,7799,7566,87.1,63387,233,3,15.8,25.5,36.6
13243,GA,randolph,2374,2265,53.9,39188,109,4.6,25,43.15,47.95
13245,GA,richmond,82486,78895,68.8,50079,3591,4.4,18.1,30.15,44.05
13247,GA,rockdale,45162,43544,99,71984,1618,3.6,15.35,29,45
13249,GA,schley,2141,2058,79.1,57510,83,3.9,17.2,28.7,38.2
13251,GA,screven,4997,4772,72.5,52713,225,4.5,20.35,31.1,42.4
13253,GA,seminole,3095,2982,62.2,45223,113,3.7,18.6,30.55,42.05
13255,GA,spalding,29289,28282,75.7,55086,1007,3.4,18.7,31,40.1
13257,GA,stephens,10559,10169,71.5,51980,390,3.7,17.5,28.9,37.5
13259,GA,stewart,2592,2494,56.6,41158,98,3.8,21,36.4,42.8
13261,GA,sumter,12162,11645,61.4,44677,517,4.3,18.05,31.9,43.25
13263,GA,talbot,2786,2680,62.1,45163,106,3.8,20.05,34.3,43.75
13265,GA,taliaferro,542,519,57.9,42138,23,4.2,19.2,33.8,43.3
13267,GA,tattnall,9373,9080,65.2,47401,293,3.1,20.2,32.7,46.05
13269,GA,taylor,2591,2457,60.5,44035,134,5.2,23.05,36.5,42.65
13271,GA,telfair,3575,3364,57.1,41547,211,5.9,21.75,37.55,45.65
13273,GA,terrell,3477,3315,73.2,53281,162,4.7,21.65,36.3,46.95
13275,GA,thomas,17042,16421,71.8,52236,621,3.6,16.75,27.05,38.8
13277,GA,tift,21063,20461,72.8,52962,602,2.9,17.5,32.1,41.75
13279,GA,toombs,12003,11529,62,45125,474,3.9,16.65,28.95,42.3
13281,GA,towns,4047,3876,81.5,59273,171,4.2,13.3,24.7,36.5
13283,GA,treutlen,2618,2511,59.8,43533,107,4.1,21.45,35.6,43.1
13285,GA,troup,36794,35671,76.8,55852,1123,3.1,16.4,28.5,41.6
13287,GA,turner,3169,3036,56.2,40865,133,4.2,21.65,35.75,43.45
13289,GA,twiggs,2712,2582,67,48772,130,4.8,18.25,31.9,42.1
13291,GA,union,11401,11086,88.8,64588,315,2.8,17.25,27.2,37
13293,GA,upson,11644,11261,66.1,48061,383,3.3,19.65,31.65,41.7
13295,GA,walker,31259,30289,73.4,53407,970,3.1,19.85,32.2,41.65
13297,GA,walton,47915,46539,114.2,83037,1376,2.9,17.55,27.35,35.8
13299,GA,ware,15454,14968,66.3,48245,486,3.1,20.8,31.9,39.35
13301,GA,warren,2693,2587,61,44367,106,3.9,19.7,33.35,44.35
13303,GA,washington,6927,6646,66.6,48462,281,4.1,19.7,32.65,43.15
13305,GA,wayne,11847,11465,70.3,51102,382,3.2,20.95,31.95,41.45
13307,GA,webster,986,948,63.2,45987,38,3.9,20,34.25,43.2
13309,GA,wheeler,1629,1543,49.4,35952,86,5.3,24.75,34.55,47.3
13311,GA,white,16922,16504,85.4,62100,418,2.5,14.35,22.65,35.35
13313,GA,whitfield,43138,41447,84.8,61680,1691,3.9,18.35,30.85,36.8
13315,GA,wilcox,2660,2558,61.7,44905,102,3.8,19.9,31.65,41.25
13317,GA,wilkes,3710,3556,65.1,47377,154,4.2,19.25,33.25,43.65
13319,GA,wilkinson,3485,3353,68.3,49648,132,3.8,20.8,33.8,43.4
13321,GA,worth,8736,8455,67.3,48956,281,3.2,18.5,31.05,39.1
